4.656857, -74.119760
4.657585, -74.119203
4.658045, -74.118752
4.658676, -74.118237
4.659489, -74.117529
4.660216, -74.116810
4.660772, -74.116370
4.661360, -74.115866
4.661979, -74.115303
4.662802, -74.114584
4.663732, -74.113844
4.664844, -74.112835
4.665785, -74.111987
4.666812, -74.110978
4.666897, -74.110528
4.666341, -74.110002
4.665764, -74.109433
4.665208, -74.109733
4.664887, -74.110162
4.665272, -74.110698
4.666320, -74.111342
4.667721, -74.112243
4.669378, -74.113294
4.671078, -74.114453
4.672703, -74.115397
4.673794, -74.116094
4.675056, -74.116888
4.676125, -74.117564
4.677387, -74.118390
4.678510, -74.119141
4.680039, -74.119913
4.681429, -74.120900
4.682701, -74.121769
4.683674, -74.122692
4.684765, -74.124151
4.685642, -74.125299
4.686808, -74.126833
4.687877, -74.128314
